data,item_id,name,description,building,andar,quantidade,cost,valor_total,periodo,observacoes,mes,ano,trimestre
2025-08-20,Mouse-Spark,Mouse,M90,Spark,1° ANDAR,1,31.9,31.9,AUGUST,Não informado,8.0,2025.0,3.0
2025-08-20,Adaptadores usb c-HQ1,Adaptadores usb c,Geonav,HQ1,2° ANDAR L MAIOR,1,360.0,360.0,AUGUST,Não informado,8.0,2025.0,3.0
2025-08-20,Adaptadores usb c-HQ1,Adaptadores usb c,Geonav,HQ1,2° ANDAR L MAIOR,1,360.0,360.0,AUGUST,Não informado,8.0,2025.0,3.0
2025-08-24,Usb Gorila 6 em1-HQ1,Usb Gorila 6 em1,Adaptadores usb c,HQ1,2° ANDAR L MAIOR,1,112.0,112.0,AUGUST,,8.0,2025.0,3.0
2025-08-24,Headset-HQ1,Headset,Plantronics blackwire,HQ1,2° ANDAR L MAIOR,1,260.0,260.0,AUGUST,,,,
2025-08-24,Headset-HQ1,Headset,Plantronics blackwire,HQ1,2° ANDAR L MAIOR,1,260.0,260.0,AUGUST,,,,
2025-08-24,Adaptadores usb c-HQ1,Adaptadores usb c,Geonav,HQ1,2° ANDAR L MAIOR,1,360.0,360.0,AUGUST,,,,
